campaign_key,customer_key,product_code,contacted,qualifying_interactions
SA_318a40d483dc2e,IQ_05884139b2f597,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_0bbbaaab35ea95,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_229d78a6df9a94,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_25c94f4d88e49a,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_51aeb27d07be6b,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_52fa506fffb2b4,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_59b5871585180e,IQ_d19e228b25b7ab,true,1
SA_318a40d483dc2e,IQ_684faa338cd172,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_70849c1fe756b7,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_715da7641aed2d,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_7aeaa83a0a1c56,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_892ff68c2aaeda,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_93d35e630ae6a9,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_9b17ca25ee17c9,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_be1ad011586236,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_c5eb39b18ca20b,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_d92c297a26b4ad,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_e14d919e7ea858,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_f0ae8bd8f9d2a8,IQ_d19e228b25b7ab,false,0
SA_318a40d483dc2e,IQ_f54562e3c643b5,IQ_d19e228b25b7ab,false,0
SA_64c1439171f0f7,IQ_06a6ec1d2ef8be,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_076d9a257d3fec,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_0924a6da562c98,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_1b3d6b1cddbd15,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_21d1ec50b3e069,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_25dc7ff2807b62,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_2f9f098695e506,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_33b40f57a97926,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_413c07c026c858,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_54eb2f31fd81c4,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_6648ea2780803e,IQ_48c377d7d5a68d,true,1
SA_64c1439171f0f7,IQ_7cd8b403393f76,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_9c874b2d595221,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_aa92849fd7cd30,IQ_48c377d7d5a68d,true,1
SA_64c1439171f0f7,IQ_ad1c6f1f62ce12,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_b9f0f246c1b0e5,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_c555f3d5651536,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_cce5e0ba716ecf,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_f83c0c647f07c0,IQ_48c377d7d5a68d,false,0
SA_64c1439171f0f7,IQ_f99c4fc261de3c,IQ_48c377d7d5a68d,false,0
